"Heartnotes“ Stone Message Bar ""Grandkids""",13298,,"Heartnotes“ Stone Message Bars are comprised of cast polyresin and have a brown stone texture.

Height: 2.25""
Width: 9""",,,,,,,,,,,,,,Carson400,Carson160,http://www.carsonhomeaccents.com/images/13298_l.jpg,13298_l.jpg,,|||||,Carson800,13298_l.jpg
"""Be The Light"" Round Car Coaster - Bulk",CB73297,,"Our round car coasters will fit most cup holders and are made from absorbent stoneware. Will work for hot and cold beverages and absorb spills and condensation. These are designed, printed and packaged in the USA. Our bulk packed car coasters will come individually bubble wrapped with a UPC sticker on the back. Work best with the counter top display 70001.

Also available in packaged form Item #CC73296

DIA: 2.75""",,,,,,,,,,,,,,Carson400,Carson160,http://www.carsonhomeaccents.com/images/CB73297_l.jpg,CB73297_l.jpg,,|||||,Carson800,CB73297_l.jpg
"""Sunflower"" Round Car Coaster - Bulk",CB73299,,"Our round car coasters will fit most cup holders and are made from absorbent stoneware. Will work for hot and cold beverages and absorb spills and condensation. These are designed, printed and packaged in the USA. Our bulk packed car coasters will come individually bubble wrapped with a UPC sticker on the back. Work best with the counter top display 70001.

Also available in packaged form Item #CC73298

DIA: 2.75""",,,,,,,,,,,,,,Carson400,Carson160,http://www.carsonhomeaccents.com/images/CB73299_l.jpg,CB73299_l.jpg,,|||||,Carson800,CB73299_l.jpg
"""Sunshine"" Round Car Coaster - Bulk",CB73281,,"Our round car coasters will fit most cup holders and are made from absorbent stoneware. Will work for hot and cold beverages and absorb spills and condensation. These are designed, printed and packaged in the USA. Our bulk packed car coasters will come individually bubble wrapped with a UPC sticker on the back. Work best with the counter top display 70001.

Also available in packaged form Item #CC73280

DIA: 2.75""",,,,,,,,,,,,,,Carson400,Carson160,http://www.carsonhomeaccents.com/images/CB73281_l.jpg,CB73281_l.jpg,,|||||,Carson800,CB73281_l.jpg
"""Dogs"" Mat",11707,,"Our indoor/outdoor mats have done so well in our Flag catalog that we""ve decided to offer them in everyday styles for the Gift/Garden book. The thick, non-slip rubber backing paired with the fade and mildew resistant polyester top will keep these mats lively and bright for a very long time!

W: 29.5""
H: 17.5""",,,,,,,,,,,,,,Carson400,Carson160,http://www.carsonhomeaccents.com/images/11707_l.jpg,11707_l.jpg,,|||||,Carson800,11707_l.jpg
"Heartnotes“ Stone Message Bar ""Grateful Heart""",13296,,"Heartnotes“ Stone Message Bars are comprised of cast polyresin and have a brown stone texture.

Height: 2.25""
Width: 9""",,,,,,,,,,,,,,Carson400,Carson160,http://www.carsonhomeaccents.com/images/13296_l.jpg,13296_l.jpg,,|||||,Carson800,13296_l.jpg
"""Don't Hurry"" Round Car Coaster - Packaged",CC73294,,"Our round car coasters are individually packaged in a poly bag with an insert card. There will be a UPC sticker on the back of the poly bag. The packaging will include a slot for our standing packed car coaster display 70002 or the counter top car coaster display 70003.

Also available in bulk pack item # CB73295

DIA: 2.75""",,,,,,,,,,,,,,Carson400,Carson160,http://www.carsonhomeaccents.com/images/CC73294_l.jpg,CC73294_l.jpg,,|||||,Carson800,CC73294_l.jpg
"""Wonderful"" Decorative Pillow",11062,,"Our decorative pillows are made of linen and polyester with a zipper cover for easy cleaning! Machine wash cold and hang to dry.

W: 16""
H: 12""",,,,,,,,,,,,,,Carson400,Carson160,http://www.carsonhomeaccents.com/images/11062_l.jpg,11062_l.jpg,,|||||,Carson800,11062_l.jpg
"""Chili Peppers"" Wireworks™ Fun Chime",61038,,"Wireworks™ wind chimes are crafted from premium metal tubes that produce a soothing and charming sound. Each design has wire outlines with glittery enamel fill and a variety of other materials such as glass marbles, mesh, tin, beads and/or faux gems. Durable finish and chime/hook included for hanging.

L: 33.25""
W: 2.25""",,,,,,,,,,,,,,Carson400,Carson160,http://www.carsonhomeaccents.com/images/61038_l.jpg,61038_l.jpg,,|||||,Carson800,61038_l.jpg
"""Be Happy Today"" Round Car Coaster - Packaged",CC73286,,"Our round car coasters are individually packaged in a poly bag with an insert card. There will be a UPC sticker on the back of the poly bag. The packaging will include a slot for our standing packed car coaster display 70002 or the counter top car coaster display 70003.

Also available in bulk pack item # CB73287

DIA: 2.75""",,,,,,,,,,,,,,Carson400,Carson160,http://www.carsonhomeaccents.com/images/CC73286_l.jpg,CC73286_l.jpg,,|||||,Carson800,CC73286_l.jpg
